Play,Words
Cym_matrix,3233.0
H5_matrix,2541.0
Rom_matrix,2177.0
3H6_matrix,2167.0
TGV_matrix,2019.0
Tro_matrix,2004.0
Per_matrix,1971.0
Wiv_matrix,1749.0
1H4_matrix,1613.0
Mac_matrix,1410.0
TN_matrix,1275.0
Tmp_matrix,1193.0
MM_matrix,1167.0
1H6_matrix,1130.0
LLL_matrix,1060.0
AWW_matrix,1040.0
Tim_matrix,945.0
MND_matrix,882.0
H8_matrix,827.0
2H4_matrix,815.0
Err_matrix,762.0
R3_matrix,687.0
Ado_matrix,682.0
2H6_matrix,643.0
JC_matrix,624.0
Ham_matrix,581.0
Jn_matrix,542.0
AYL_matrix,439.0
MV_matrix,364.0
TNK_matrix,313.0
Ant_matrix,177.0
WT_matrix,132.0
R2_matrix,65.0
Cor_matrix,55.0
Shr_matrix,30.0
