,Duke,Isabella,Lucio,Escalus,Angelo,Pompey,Mariana,Elbow,Provost,Claudio,Friarpeter,Bawd,Froth,Gentlemen 1,Abhorson,Barnardine,Gentlemen 2,Juliet,Messenger,Nun,Servants 1,Boy,Friarthomas,Justice,Officers 0 1,Officers 1,Citizens,Officers,Varrius,Attendants,Servants,Officers 0 2
Duke,350.0,3303.0,2799.0,3206.0,2592.0,263.0,1766.0,186.0,4083.0,1105.0,2137.0,0.0,0.0,0.0,77.0,549.0,0.0,648.0,6.0,0.0,0.0,0.0,468.0,0.0,1476.0,0.0,2364.0,2550.0,2397.0,2949.0,0.0,1476.0
Isabella,1265.0,157.0,1719.0,741.0,2040.0,0.0,225.0,0.0,1555.0,619.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,125.0,0.0,741.0,741.0,741.0,741.0,0.0,125.0
Lucio,1666.0,1085.0,0.0,541.0,672.0,368.0,408.0,368.0,774.0,273.0,541.0,116.0,0.0,287.0,0.0,92.0,468.0,273.0,0.0,529.0,0.0,0.0,0.0,0.0,272.0,0.0,541.0,1090.0,541.0,541.0,0.0,272.0
Escalus,625.0,286.0,402.0,0.0,801.0,582.0,381.0,707.0,513.0,0.0,381.0,109.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0,286.0,0.0,402.0,1218.0,402.0,492.0,931.0,286.0
Angelo,440.0,1379.0,760.0,1024.0,430.0,95.0,317.0,95.0,859.0,0.0,357.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,315.0,158.0,0.0,368.0,463.0,368.0,461.0,315.0,158.0
Pompey,141.0,0.0,66.0,785.0,406.0,192.0,0.0,926.0,168.0,17.0,0.0,155.0,587.0,0.0,271.0,29.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,246.0,0.0,943.0,0.0,0.0,785.0,0.0
Mariana,579.0,183.0,464.0,464.0,464.0,0.0,0.0,0.0,464.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,142.0,0.0,464.0,464.0,464.0,464.0,0.0,142.0
Elbow,180.0,0.0,26.0,582.0,310.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,762.0,0.0,0.0,582.0,0.0
Provost,895.0,145.0,124.0,141.0,211.0,207.0,100.0,0.0,0.0,164.0,100.0,13.0,0.0,0.0,96.0,30.0,8.0,83.0,5.0,0.0,68.0,0.0,0.0,8.0,100.0,343.0,100.0,137.0,100.0,100.0,8.0,100.0
Claudio,83.0,357.0,452.0,0.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,520.0,0.0,0.0,0.0,0.0
Friarpeter,267.0,70.0,261.0,261.0,261.0,0.0,92.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,261.0,261.0,261.0,0.0,0.0
Bawd,80.0,0.0,82.0,80.0,0.0,79.0,0.0,0.0,91.0,11.0,0.0,38.0,0.0,82.0,0.0,0.0,82.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0
Froth,0.0,0.0,0.0,75.0,35.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0
Gentlemen 1,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abhorson,19.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnardine,82.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gentlemen 2,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juliet,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nun,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants 1,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friarthomas,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justice,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Officers 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Officers 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citizens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varrius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Officers 0 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
