,Valentine,Proteus,Duke,Julia,Sylvia,Lance,Speed,Thurio,Outlaws 3,Host,Lucetta,Outlaws 1,Pantino,Outlaws 2,Antonio,Eglamour,Servants 1,Musicians,Crab
Valentine,329.0,1637.0,859.0,542.0,1157.0,153.0,1627.0,768.0,456.0,0.0,0.0,456.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0
Proteus,1372.0,711.0,632.0,1188.0,555.0,623.0,735.0,683.0,0.0,290.0,0.0,0.0,190.0,0.0,149.0,0.0,0.0,167.0,216.0
Duke,1135.0,813.0,0.0,339.0,342.0,0.0,159.0,898.0,183.0,0.0,0.0,183.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0
Julia,168.0,542.0,0.0,629.0,853.0,11.0,0.0,206.0,0.0,208.0,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,11.0
Sylvia,581.0,547.0,0.0,701.0,0.0,0.0,396.0,203.0,16.0,259.0,0.0,25.0,0.0,16.0,0.0,298.0,48.0,0.0,0.0
Lance,57.0,155.0,0.0,98.0,0.0,248.0,840.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,1412.0
Speed,934.0,437.0,0.0,0.0,68.0,445.0,0.0,18.0,33.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,180.0
Thurio,144.0,326.0,177.0,179.0,144.0,0.0,95.0,0.0,49.0,6.0,0.0,49.0,0.0,49.0,0.0,0.0,0.0,57.0,0.0
Outlaws 3,199.0,3.0,3.0,3.0,50.0,0.0,196.0,3.0,0.0,0.0,0.0,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
Host,0.0,175.0,0.0,199.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0
Lucetta,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outlaws 1,128.0,3.0,3.0,3.0,58.0,0.0,125.0,3.0,162.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0
Pantino,0.0,30.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,140.0
Outlaws 2,106.0,3.0,3.0,3.0,9.0,0.0,103.0,3.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0
Eglamour,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
Servants 1,11.0,11.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musicians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
